동물병원명,주소,Latitude,Longitude,지번,영업시간,전화번호,평점,리뷰수,링크
신흥동물병원,경기 성남시 수정구 수정로 226,37.4451304,127.1447308,신흥동 3414,,031-732-2423,4.1,1,https://place.map.kakao.com/797520265
펫앤쉘터동물병원,경기 성남시 분당구 불정로 266,37.3670982,127.1276731,수내동 87-1,,,3,3,https://place.map.kakao.com/192628427
가나동물병원,경기 성남시 수정구 수정로 160,37.4424783,127.1378158,신흥동 5536,,031-721-7582,0,0,https://place.map.kakao.com/16936579
분당밝은아이동물병원,경기 성남시 중원구 성남대로997번길 51-16 1층,37.4170619,127.1259461,여수동 312,수~토 10:00 ~ 19:00 · 휴게시간 수~토 12:30 ~ 13:30,031-754-0201,5,11,https://place.map.kakao.com/1095598649
아프리카 동물종합병원,경기 성남시 분당구 서현로 170 풍림아이원플러스오피스텔 1층,37.3889821,127.1225406,서현1동 255-1,월~금 09:00 ~ 22:00,031-705-7776,3.3,34,https://place.map.kakao.com/13605383
분당데이지동물병원,경기 성남시 분당구 내정로 58 107호,37.3653863,127.1151963,정자동 117-1,월~토 08:00 ~ 18:00 · 휴게시간 월~토 12:30 ~ 13:30,031-715-3575,4.9,88,https://place.map.kakao.com/1862033603
이매동물병원,경기 성남시 분당구 성남대로779번길 17 포티스빌딩 1층,37.3988996,127.1264152,이매동 106-3,월~금 10:00 ~ 20:00,031-703-7582,4.9,1,https://place.map.kakao.com/1442641295
25시동물병원,경기 성남시 중원구 산성대로504번길 1,37.456038,127.1629569,은행2동 1589,,031-731-0025,3.8,0,https://place.map.kakao.com/9574017
젠동물병원,경기 성남시 분당구 양현로 479 2층,37.4166363,127.135411,야탑동 202-3,월~금 10:00 ~ 20:00 · 휴게시간 월~토 13:00 ~ 14:00,031-752-0075,4.2,6,https://place.map.kakao.com/22280992
24시더클래스동물메디컬센터,경기 성남시 분당구 성남대로 275 아데나팰리스 A동 1층 101-1호,37.3605623,127.1077127,정자동 169-1,매일 00:00 ~ 24:00,031-713-7975,4.4,177,https://place.map.kakao.com/2038984568
태평역동물병원,경기 성남시 수정구 성남대로 1222,37.4388855,127.128291,수진동 3011,,031-755-7504,3.7,0,https://place.map.kakao.com/373613769
굿모닝펫동물병원,경기 성남시 분당구 정자일로 55 두산위브아파트 상가 108동 110호,37.3552113,127.1052495,금곡동 192,"월,수,목 10:00 ~ 07:00 · 휴게시간 월~금 13:00 ~ 14:00",031-715-7119,3.3,0,https://place.map.kakao.com/8218269
한국동물병원,경기 성남시 중원구 둔촌대로 155 (1층),37.4295687,127.1358931,성남동 3794,,031-721-8990,0,0,https://place.map.kakao.com/10098971
미래동물의료센터 분당점,경기 성남시 분당구 서현로255번길 1,37.3845759,127.1296822,서현동 80-1,,031-705-2475,3.2,95,https://place.map.kakao.com/900494364
이플동물병원,경기 성남시 수정구 복정로 35,37.4561571,127.1271477,복정동 694,,031-751-3985,4.8,1,https://place.map.kakao.com/10757651
정동물병원,경기 성남시 중원구 금상로 72,37.4411827,127.1636759,상대원동 2316,,031-749-7557,4.5,0,https://place.map.kakao.com/1263505893
백현동물병원,경기 성남시 분당구 동판교로52번길 8,37.3873556,127.1142156,백현동 597-2,월~금 10:00 ~ 19:00,031-705-7511,4.1,4,https://place.map.kakao.com/1045375906
이진수고양이병원,경기 성남시 분당구 판교공원로5길 15 1층,37.3901321,127.0898174,판교동 619-9,"수,목요일",031-726-7582,,1,https://place.map.kakao.com/439336362
동물병원더하임,경기 성남시 수정구 수정로 273 수정빌딩 1층,37.449191,127.145651,신흥동 34,월~금 09:30 ~ 21:30 · 휴게시간 매일 13:00 ~ 14:00,031-746-7582,5,70,https://place.map.kakao.com/1519864458
서울동물병원,경기 성남시 중원구 희망로 442 1층,37.4444154,127.1577941,금광동 7,,031-741-8119,2.8,0,https://place.map.kakao.com/8274257
세인트존스동물병원,경기 성남시 분당구 정자일로 197 101호,37.3680421,127.1055286,정자동 16-2,,031-713-8391,5,2,https://place.map.kakao.com/25464681
365동물병원 위례점,경기 성남시 수정구 위례동로 153 위례에이플타워 2층,37.4734979,127.149977,창곡동 513,,031-751-0365,3.9,9,https://place.map.kakao.com/522702663
우주동물병원,"경기 성남시 중원구 양현로405번길 5 신야탑푸르지오시티1 1층 101,102호",,,여수동 205,월~금 10:00 ~ 20:00 · 휴게시간 월~토 13:00 ~ 14:00,031-778-6420,4.3,43,https://place.map.kakao.com/1527201271
야탑서울동물병원,경기 성남시 분당구 벌말로 33 일심조합상가 206호,37.4110144,127.1379074,야탑동 274-3,"수,일요일",,4.7,0,https://place.map.kakao.com/1153640768
미래동물의료센터 성남점,경기 성남시 수정구 수정로 130 2층,37.4414292,127.1348608,수진동 28-1,,031-757-2475,0,0,https://place.map.kakao.com/1321787659
해오름동물병원,경기 성남시 중원구 희망로 402,37.4412735,127.1601767,금광동 113,,,5,2,https://place.map.kakao.com/1076393907
정자동물약품병원,경기 성남시 분당구 성남대로331번길 3-13 대명제스트빌딩 5층 509호,37.3643782,127.1076849,정자동 156-3,수~금 12:00 ~ 19:00,031-714-9978,5,2,https://place.map.kakao.com/1932918353
딜리동물병원,경기 성남시 분당구 성남대로 884-9 라비앙주상복합 1층 101호,37.4090672,127.1292624,야탑동 513-3,,031-605-1275,5,22,https://place.map.kakao.com/806567534
아름동물병원,경기 성남시 분당구 성남대로779번길 52 신흥코아 102호,37.3995014,127.122802,이매동 137-4,,031-706-7595,5,1,https://place.map.kakao.com/12743520
동물병원DR.정,경기 성남시 중원구 산성대로 498,37.4555472,127.162589,은행동 1633,,031-733-9325,5,0,https://place.map.kakao.com/1882416674
메르시동물병원,경기 성남시 분당구 운중로 255,37.3895073,127.0914861,판교동 590,,031-707-0701,2.9,51,https://place.map.kakao.com/634393220
강남동물병원,경기 성남시 중원구 광명로 341,37.4460483,127.1636699,금광2동 3661,,031-741-3012,4,1,https://place.map.kakao.com/16312175
스타동물의료센터,경기 성남시 수정구 수정로 287 2층,37.4503477,127.1464428,신흥동 30-2,"월,수,목,금,토,일 10:00 ~ 20:00 · 휴게시간 월,수,목,금,토,일 13:00 ~ 14:00",031-8023-9073,0,79,https://place.map.kakao.com/909205697
라엘동물의료센터,"경기 성남시 분당구 운중로 172 트윈플라자1 1층 101,102호",37.3910153,127.0823084,운중동 1018-2,"월,수,목,금,토,일 10:00 ~ 19:00 · 휴게시간 월,수,목,금,토,일 12:00 ~ 13:00",070-7756-7777,5,0,https://place.map.kakao.com/84878384
지음동물의료센터,경기 성남시 중원구 광명로 321 1층,37.4453902,127.1614605,금광동 3704,월~금 09:00 ~ 20:30,031-735-0922,,20,https://place.map.kakao.com/685771871
최재호한방동물병원,경기 성남시 중원구 둔촌대로63번길 11 성남여수LH1단지 상가동 102호,37.4311094,127.1253408,성남동 4700,,,5,1,https://place.map.kakao.com/12984999
힐링힐스동물치과병원,경기 성남시 분당구 동판교로52번길 9-11 1층,37.3873797,127.1154736,백현동 603-3,"수,일요일",031-708-0078,,198,https://place.map.kakao.com/1496854952
광장동물병원,경기 성남시 수정구 위례광장로 300 101호,37.4734716,127.1427383,창곡동 509,,,1,0,https://place.map.kakao.com/279712318
조은동물병원,경기 성남시 중원구 광명로142번길 3 미래타운 상가 1층 101호,37.4375023,127.1441765,성남동 2759,월~금 09:30 ~ 19:00,,5,1,https://place.map.kakao.com/375551937
우성동물병원,경기 성남시 분당구 돌마로 481,37.3777365,127.1328726,서현동 95,,031-707-1776,5,0,https://place.map.kakao.com/16531094
하온동물의료센터,경기 성남시 분당구 느티로 27 203호,37.3687998,127.1074961,정자동 15-7,월~금 10:00 ~ 20:00,031-697-8978,5,9,https://place.map.kakao.com/1909963590
분당우리동물의료센터,경기 성남시 분당구 양현로94번길 19 2층,37.3911639,127.1262183,이매동 120-6,,031-705-0175,5,6,https://place.map.kakao.com/862920720
빌리브동물병원,경기 성남시 분당구 성남대로 449 로얄팰리스 A동 111호~113호,37.3751966,127.1107629,정자동 28-1,월~금 09:00 ~ 21:00,031-8088-7500,5,194,https://place.map.kakao.com/1754683352
분당중앙동물병원,경기 성남시 분당구 중앙공원로39번길 49 지엔느상가 1층 108호,37.3837989,127.1247516,서현동 88,,031-708-8875,4.2,2,https://place.map.kakao.com/15783743
판교종합동물병원,경기 성남시 분당구 동판교로 122 백현마을 2단지 나상가 104호,37.392127,127.118143,백현동 545,월~금 10:00 ~ 19:00 · 휴게시간 월~금 12:30 ~ 13:30,031-8016-7507,5,0,https://place.map.kakao.com/11738464
중앙동물병원,경기 성남시 수정구 수정로 139-1,37.4422918,127.1356645,태평동 3501,,031-755-9429,3.5,2,https://place.map.kakao.com/27420545
위례중앙동물의료센터,경기 성남시 수정구 위례광장로 104 2241호,37.4730447,127.1412575,창곡동 505,매일 10:00 ~ 20:00 · 휴게시간 매일 13:00 ~ 14:00,031-758-7599,2.6,1,https://place.map.kakao.com/353316504
분당고은동물병원,경기 성남시 분당구 매화로 40 1층,37.4111556,127.1341749,야탑동 291-4,월~토 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-703-6535,3.9,1,https://place.map.kakao.com/12260008
아이유동물메디컬센터,"경기 성남시 수정구 위례광장로 5 3층 301,302호",37.4650515,127.14163,창곡동 560,"월,화,수,금 10:00 ~ 18:00 · 휴게시간 월,화,수,금,토 12:00 ~ 13:00",031-604-0975,3.4,0,https://place.map.kakao.com/1900410832
금광종합동물병원,경기 성남시 수정구 산성대로 431,37.4504812,127.1589748,단대동 97-3,,031-731-5511,1,0,https://place.map.kakao.com/8679471
서울동물병원,경기 성남시 수정구 수정로 110 1층,37.4409332,127.1326322,수진동 53,월~금 09:00 ~ 21:00,031-721-2423,,2,https://place.map.kakao.com/1041420789
모아동물병원,경기 성남시 수정구 수정로 291 산성역포레스티아아파트 서문상가동 1층 101호,37.4527808,127.1464839,신흥동 6953,월~토 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-733-2010,4.2,18,https://place.map.kakao.com/987008827
활기찬동물병원,경기 성남시 분당구 장안로 39 한일빌딩 1층,37.3704363,127.1434492,분당동 90-1,월~금 10:00 ~ 20:00 · 휴게시간 월~토 12:00 ~ 13:00,031-781-7525,5,1,https://place.map.kakao.com/8619417
상대원동물병원,경기 성남시 중원구 희망로 350 1층,37.4369379,127.1583354,상대원동 2999-26,,031-733-1777,5,3,https://place.map.kakao.com/453625281
365동물병원 분당점,경기 성남시 분당구 미금일로90번길 32 웰파크몰 125호,37.3489258,127.1104646,구미동 30,"월,수,금,토 10:00 ~ 18:00 · 휴게시간 월~토 13:00 ~ 14:00",031-718-0365,5,2,https://place.map.kakao.com/37781303
초이동물병원,경기 성남시 수정구 시민로 159,37.4423255,127.1430507,신흥1동 5168,,031-758-7776,0,1,https://place.map.kakao.com/8096434
금산헤르쯔 동물병원,경기 성남시 분당구 돌마로 364 1층,37.3699659,127.1236452,수내동 79-2,월~금 09:00 ~ 20:00 · 휴게시간 월~토 12:30 ~ 13:30,031-712-2795,2.6,69,https://place.map.kakao.com/16343518
아토즈동물병원,경기 성남시 분당구 판교역로 145 라스트리트 2동 2층 213호,37.3938154,127.1083768,백현동 530,화~일 09:00 ~ 22:00 · 휴게시간 매일 13:00 ~ 14:00,031-8016-8206,,2,https://place.map.kakao.com/842688360
동판교동물병원,경기 성남시 분당구 판교역로14번길 20 201호,37.3854765,127.1114388,백현동 564-5,월~토 10:00 ~ 19:00 · 휴게시간 월~토 12:30 ~ 14:00,031-781-7582,3.7,0,https://place.map.kakao.com/2051183495
이레외과동물병원,경기 성남시 분당구 백현로101번길 11 동현프리자 205호,37.3770939,127.1119532,수내동 20-6,월~토 09:00 ~ 19:00 · 휴게시간 월~토 12:00 ~ 13:00,031-605-0190,5,4,https://place.map.kakao.com/1366402427
건국동물병원,경기 성남시 수정구 수정로 131 1층,37.4420521,127.1346425,태평동 3659,월~금 09:00 ~ 19:30,031-721-4111,4.4,3,https://place.map.kakao.com/16183258
도촌동물병원,경기 성남시 중원구 도촌남로 37 1층,37.4146235,127.1516334,도촌동 568,,031-755-5975,2.3,1,https://place.map.kakao.com/8264690
위례나무동물병원,경기 성남시 수정구 위례동로 147 위례건아타워 106호,37.472954,127.1502296,창곡동 513-1,화~금 10:00 ~ 19:00 · 휴게시간 화~토 12:30 ~ 13:30,031-778-8738,4.8,0,https://place.map.kakao.com/113104191
정자현대동물병원,경기 성남시 분당구 성남대로331번길 3-13,37.3643782,127.1076849,정자동 156-3,,,0,2,https://place.map.kakao.com/240732879
에버펫동물병원,경기 성남시 분당구 성남대로 165 천사의도시1 오피스텔 121호,37.3507302,127.1082963,금곡동 161,월~토 10:00 ~ 19:00,031-714-1175,5,10,https://place.map.kakao.com/14622922
수동물병원,경기 성남시 분당구 운중로 135 더원스퀘어빌딩 1층 101호,37.3918913,127.0780758,운중동 965,,031-8017-0130,5,0,https://place.map.kakao.com/17468486
뉴욕동물병원,경기 성남시 분당구 성남대로 52 그랜드프라자 1층,37.3404299,127.109348,구미동 177,월~금 09:00 ~ 21:00 · 휴게시간 월~금 10:30 ~ 11:30,031-8039-7433,3.7,20,https://place.map.kakao.com/1092049917
모란동물병원,경기 성남시 중원구 성남대로 1126,37.4303456,127.1298975,성남동 4123,,031-752-7779,5,0,https://place.map.kakao.com/18120386
서공동물병원,경기 성남시 분당구 내정로 170 동신파크빌딩 2층 204호,37.3734849,127.1196806,수내동 58-1,월~금 09:00 ~ 19:00 · 휴게시간 화~금 13:00 ~ 14:00,031-711-2244,,1,https://place.map.kakao.com/1239352855
소랑동물병원,경기 성남시 분당구 판교대장로7길 16 엘포레상가 102호,37.3738839,127.0681773,대장동 595,월~금 10:00 ~ 19:30 · 휴게시간 월~토 13:00 ~ 14:00,031-715-4860,0,8,https://place.map.kakao.com/1459905991
상록동물병원,경기 성남시 분당구 정자로 78,37.3631524,127.1135101,정자동 126-1,,031-716-8275,2,0,https://place.map.kakao.com/9813756
분당다원동물병원,경기 성남시 분당구 정자일로 100 미켈란쉐르빌 상가동 1층 116호,37.3590914,127.1069962,정자동 180,,031-711-6775,0,1,https://place.map.kakao.com/1609499258
스칸디동물병원,경기 성남시 수정구 위례광장로 70 아트리버 푸르지오 1단지 상가 201호,37.4704028,127.1412722,창곡동 530,,031-759-7579,3,1,https://place.map.kakao.com/428925327
시드니 동물병원,경기 성남시 수정구 태평로 10,37.4478323,127.1280172,태평동 5104,,,5,0,https://place.map.kakao.com/16343702
현대동물병원,경기 성남시 분당구 성남대로 30,37.338387,127.1094261,구미동 185-5,,031-718-7282,3.2,0,https://place.map.kakao.com/10110003
분당정자동물병원,경기 성남시 분당구 정자일로 120 아데나루체상가 119호,37.3608517,127.1065438,정자1동 170-1,,031-712-7275,5,0,https://place.map.kakao.com/15872060
나라동물병원,경기 성남시 분당구 미금로 48,37.3378333,127.1165434,구미동 205-1,월~금 10:00 ~ 19:30,031-712-0707,4.9,2,https://place.map.kakao.com/14533563
레온동물병원,경기 성남시 중원구 광명로 89,37.4353385,127.1385133,성남동 1404,,,5,0,https://place.map.kakao.com/2036099175
쿨펫동물병원,경기 성남시 분당구 탄천상로151번길 20 애플플라자 1층,37.3400457,127.1069711,구미동 161,,031-711-7509,3.1,3,https://place.map.kakao.com/10829942
세이브동물병원,경기 성남시 중원구 산성대로 336-3,37.4430561,127.1538978,중앙동 241,,031-735-5995,5,0,https://place.map.kakao.com/8415005
Dr. 오즈동물병원,경기 성남시 분당구 분당로263번길 39 레이디파크 109호,37.3720259,127.1401585,서현동 312-1,월~금 10:00 ~ 19:00 · 휴게시간 월~금 12:00 ~ 12:30,031-701-8225,5,70,https://place.map.kakao.com/26896965
서울동물병원,경기 성남시 분당구 불정로 381,37.3745816,127.136712,서현동 305-1,,031-707-5558,5,0,https://place.map.kakao.com/9113668
성남동물병원,경기 성남시 중원구 둔촌대로 243,37.4287105,127.1451022,하대원동 127-3,,031-752-7582,5,0,https://place.map.kakao.com/10473100
그레이트동물병원,경기 성남시 분당구 정자로 80 정자프라자 1층 1호,37.3631541,127.1137876,정자동 126-2,,031-716-7975,4.6,2,https://place.map.kakao.com/1852525262
행복이있는동물병원,경기 성남시 분당구 돌마로 79 1층,37.3504,127.1107955,금곡동 153,월~토 09:00 ~ 22:00,031-714-8275,2.3,0,https://place.map.kakao.com/10111085
판교포레동물병원,경기 성남시 분당구 판교대장로6길 10 클라우드베이 2층,37.3643632,127.0679194,대장동 202-4,월~금 09:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-715-7975,5,4,https://place.map.kakao.com/186120239
어니스트동물병원,경기 성남시 분당구 운중로113번길 12-5,37.3927815,127.0762833,운중동 979,,031-698-4789,3.7,26,https://place.map.kakao.com/25738072
해마루 동물영상수술센터,경기 성남시 분당구 황새울로319번길 8-4,37.3855814,127.1209353,서현동 272-4,,,1,0,https://place.map.kakao.com/1507971105
아이펫동물병원,경기 성남시 분당구 장미로 78 1층,37.4135078,127.1295646,야탑동 360-1,,031-781-7501,4.5,0,https://place.map.kakao.com/16865948
수아동물병원,경기 성남시 분당구 판교로 446 그린프라자 108호,37.4051071,127.1233447,이매동 131-8,,031-708-3100,5,0,https://place.map.kakao.com/16584195
그레이동물병원 위례점,경기 성남시 수정구 위례광장로 320 아이에스센트럴타워 2층 214호,,,창곡동 509-2,월~금 10:00 ~ 20:00,031-753-0303,5,25,https://place.map.kakao.com/727334639
서현 동물병원,경기 성남시 분당구 중앙공원로31번길 42,37.3830904,127.1254883,서현1동 89,,031-707-3334,0,0,https://place.map.kakao.com/15523860
P&P동물병원,경기 성남시 분당구 서판교로 36 1층,37.3899673,127.0979066,판교동 577-3,"월,화,수,금,토 10:00 ~ 19:00",031-8017-5558,3.2,54,https://place.map.kakao.com/27497791
루니,경기 성남시 분당구 미금로 251 청솔성원상가 112호,37.3524407,127.1101337,금곡동 143,월~금 09:30 ~ 06:30 · 휴게시간 월~토 13:00 ~ 14:00,031-719-9545,3.3,1,https://place.map.kakao.com/19476883
엔젤동물병원,경기 성남시 분당구 성남대로171번길 17,37.3511376,127.1068064,금곡동 172,,031-713-5004,3,0,https://place.map.kakao.com/18779639
래온동물병원,경기 성남시 중원구 광명로 89,37.4353385,127.1385133,성남동 1404,,,0,1,https://place.map.kakao.com/2026431626
분당필동물병원,경기 성남시 분당구 금곡로15번길 1 1층,37.3438379,127.1107543,구미동 125-3,월~금 10:00 ~ 20:00,031-718-7575,0,0,https://place.map.kakao.com/278463113
굿데이동물병원,경기 성남시 분당구 불곡로 4 리더스프라자 1층 104호,37.3594073,127.1229441,정자동 219-3,"월,수,목,금 10:00 ~ 19:00 · 휴게시간 월,수,목,금,토 12:00 ~ 13:30",031-718-8276,0,0,https://place.map.kakao.com/1307436724
분당웰니스동물병원,경기 성남시 분당구 불정로 134,37.3588136,127.1197905,정자동 211,매일 10:00 ~ 19:00,031-711-1911,0,2,https://place.map.kakao.com/14623911
성남다온동물병원,경기 성남시 중원구 광명로 89 센트럴푸르지오시티 1층 135호,37.4353385,127.1385133,성남동 1404,,031-759-0242,5,0,https://place.map.kakao.com/2009334477
행복한동물병원,경기 성남시 분당구 동판교로 226 A상가 204~206호,37.4035074,127.1179471,삼평동 718,,031-8017-5575,5,1,https://place.map.kakao.com/11829684
정원양한방동물병원,경기 성남시 분당구 운중로 233 한솔프라자,37.389975,127.0889637,판교동 621-2,,,0,0,https://place.map.kakao.com/12727997
분당동물병원,경기 성남시 분당구 양현로 126,37.395023,127.1256225,이매동 115-1,,031-705-4144,2,0,https://place.map.kakao.com/10444676
내사랑동물병원,경기 성남시 분당구 중앙공원로40번길 8 현대아케이드 1층,37.3796875,127.1302281,서현동 94,,,0,0,https://place.map.kakao.com/16647205
라온동물병원,"경기 성남시 분당구 운중로 132 큐브타워 110호, 111호",37.3912935,127.0777293,운중동 943,,,0,0,https://place.map.kakao.com/26992883
고등동물병원,경기 성남시 수정구 고등로1길 6-4 1층 101호,37.4293478,127.0945866,고등동 575-1,월~금 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-758-7588,0,23,https://place.map.kakao.com/1751974771
남현우동물병원,경기 성남시 분당구 내정로173번길 11,37.3747755,127.1184461,수내동 29,,031-717-7577,4,1,https://place.map.kakao.com/14546994
이솝동물병원,경기 성남시 분당구 성남대로331번길 3-13,37.3643782,127.1076849,정자동 156-3,,031-716-7581,0,0,https://place.map.kakao.com/680985514
서현라이크동물병원,경기 성남시 중원구 성남대로 1110 1층,37.428823,127.1298916,하대원동 100-7,매일 10:00 ~ 20:00,,0,0,https://place.map.kakao.com/699828860
샤인동물메디컬센터,경기 성남시 분당구 황새울로351번길 10,37.3876668,127.1231305,서현동 254-4,,031-2088-7775,5,0,https://place.map.kakao.com/34460425
백현고양이병원,경기 성남시 분당구 동판교로52번길 6,37.3874986,127.1142145,백현동 597-1,,031-705-7511,0,0,https://place.map.kakao.com/1597216808
파크뷰동물병원,경기 성남시 분당구 정자일로 248,37.3747282,127.1068614,정자동 6,월~금 09:30 ~ 20:00,031-713-2111,0,0,https://place.map.kakao.com/18438335
소동물 임상의학연구소,경기 성남시 분당구 황새울로319번길 8-6,37.3857014,127.1211025,서현동 272-5,,031-781-2980,0,0,https://place.map.kakao.com/1022200822
비전에프엘씨,경기 성남시 분당구 산운로160번길 20-6,37.3926392,127.0788076,운중동 970-7,,031-709-0240,0,0,https://place.map.kakao.com/169424430
마더스동물병원,서울 강남구 헌릉로 569 강남리더스프라자 2층,37.4657816,127.1011914,세곡동 581,,02-445-7579,4.6,0,https://place.map.kakao.com/24943397
동물병원알루,"서울 송파구 법원로4길 6 문정아이파크 1층 128,129호",37.4905322,127.1266224,문정동 652-5,화~토 10:00 ~ 21:00 · 휴게시간 화~일 13:00 ~ 14:00,02-402-3270,4.6,3,https://place.map.kakao.com/1670206129
얼바인동물병원,"서울 강남구 밤고개로 223 강남센터뷰 1층 103,104호",37.4737808,127.1065697,자곡동 670,수 11:00 ~ 20:00 · 휴게시간 월~토 12:30 ~ 13:30,02-459-7515,5,0,https://place.map.kakao.com/2070950718
힐스타동물병원,서울 강남구 자곡로 202 강남힐스테이트에코 1층,37.4746926,127.1050039,자곡동 658,,02-445-5022,5,0,https://place.map.kakao.com/26477187
서울동물메디컬센터,경기 광주시 신현로 89 1층,37.3604554,127.156852,신현동 674,매일 09:30 ~ 20:30 · 휴게시간 매일 12:20 ~ 13:30,031-8022-7582,,175,https://place.map.kakao.com/8428603
키다리동물병원,서울 송파구 새말로 62 푸르지오시티,37.4808616,127.121144,문정동 620,월~금 10:00 ~ 20:00,02-6401-1512,4.2,0,https://place.map.kakao.com/27335273
송파데일리동물병원,서울 송파구 법원로 55 송파아이파크 E존 1층,37.4798679,127.1217483,문정동 624,월~토 09:30 ~ 21:30 · 휴게시간 매일 13:00 ~ 14:00,02-403-7582,3.4,0,https://place.map.kakao.com/2101958241
24시 스탠다드동물의료센터,"서울 송파구 위례송파로 77 우성어반타워 3층 303~307,309호",37.4848583,127.1443494,거여동 605-4,매일 00:00 ~ 24:00,02-448-6400,,3,https://place.map.kakao.com/386305173
참좋은동물병원,경기 광주시 신현로 123 2층,37.3588492,127.1601466,신현동 367-14,,031-713-0103,2.6,0,https://place.map.kakao.com/649333836
송파바로동물병원,서울 송파구 새말로 125 102호,37.4831666,127.1280502,문정동 85,매일 00:00 ~ 24:00,02-400-8575,3.8,5,https://place.map.kakao.com/894670212
송파스마일동물병원,서울 송파구 새말로5길 17,37.4841578,127.1239622,문정동 57-3,매일 09:00 ~ 21:30,02-448-7588,,3,https://place.map.kakao.com/254632981
문정힐스동물병원,서울 송파구 법원로4길 10 힐스테이트에코문정 1층 120호,37.4825701,127.1228829,문정동 305-13,월~금 10:00 ~ 20:00,02-404-5852,3.8,28,https://place.map.kakao.com/1507319177
애플펫동물병원,경기 광주시 태재로 21,37.3600242,127.1518186,신현동 709-27,월~금 09:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-726-4801,2.7,0,https://place.map.kakao.com/14561452
위례별동물의료센터,"서울 송파구 위례광장로 230 위례아이파크 상가a동 119,120호",37.479256,127.1440079,장지동 884,"월,수 09:10 ~ 21:50 · 휴게시간 매일 13:00 ~ 14:00",02-401-7579,5,5,https://place.map.kakao.com/705065815
위례S동물의료센터,서울 송파구 위례광장로 200 2층,37.4812143,127.1428973,장지동 881-5,,02-431-7575,3.4,71,https://place.map.kakao.com/1472158585
하나동물병원,서울 서초구 헌릉로8길 10-12,37.4561105,127.0572683,신원동 412-1,,02-574-0511,4.4,0,https://place.map.kakao.com/103480493
나비셀동물건강장수연구소동물의료센터,서울 서초구 원터2길 4,37.4442443,127.0564277,원지동 379,,,0,0,https://place.map.kakao.com/2039193061
페트피아 문정훼밀리동물병원,서울 송파구 중대로 24,37.4885195,127.1143775,문정동 150,,02-400-0075,0,0,https://place.map.kakao.com/16904773
수서동물병원,서울 강남구 광평로 196 제이스프라자 1층 109호,37.4843709,127.0946236,수서동 595-18,,02-459-5955,4.7,0,https://place.map.kakao.com/1762195622
문정탑동물병원,서울 송파구 송이로 186 1층,37.4908612,127.1266754,문정동 4-2,월~금 10:30 ~ 19:00 · 휴게시간 월~토 12:00 ~ 13:00,02-431-0275,3.7,0,https://place.map.kakao.com/27337553
